id,state_name,district_name,season,crop,area,production
1023,Assam,GOALPARA,Summer     ,Rice,25434,81058
1024,West Bengal,DINAJPUR DAKSHIN,Rabi       ,Rapeseed &Mustard,25407,26449
1025,Uttar Pradesh,SITAPUR,Rabi       ,Rapeseed &Mustard,25374,15874
1026,Uttar Pradesh,BALRAMPUR,Rabi       ,Masoor,25301,22088
1027,Bihar,SHEIKHPURA,Rabi       ,Wheat,25250,55174
1028,Karnataka,DHARWAD,Kharif     ,Dry chillies,25031,26585
1029,Assam,LAKHIMPUR,Rabi       ,Rapeseed &Mustard,25020,19582
1030,Assam,SONITPUR,Summer     ,Paddy,25008,81831
1031,Assam,SONITPUR,Summer     ,Rice,25008,81831
1032,Maharashtra,JALGAON,Kharif     ,Soyabean,25000,35400
1033,Odisha,KORAPUT,Summer     ,Rice,25000,61000
1034,Odisha,NABARANGPUR,Autumn     ,Rice,25000,39000
1035,Odisha,KORAPUT,Winter     ,Ragi,24999,19274.2
1036,Chhattisgarh,NARAYANPUR,Kharif     ,Rice,24856,44005
1037,Arunachal Pradesh,WEST SIANG,Kharif     ,Rice,24811,25220
1038,Maharashtra,AMRAVATI,Kharif     ,Moong(Green Gram),24800,3200
1039,West Bengal,DINAJPUR UTTAR,Rabi       ,Maize,24800,151280
1040,Bihar,GOPALGANJ,Whole Year ,Sugarcane,24795,1432537
1041,Uttar Pradesh,MAHOBA,Rabi       ,Masoor,24737,3983
1042,Karnataka,BIDAR,Kharif     ,Jowar,24725,29948
1043,Maharashtra,CHANDRAPUR,Rabi       ,Other  Rabi pulses,24700,5300
1044,Maharashtra,SATARA,Kharif     ,Other Kharif pulses,24700,11100
1045,Telangana ,MEDAK,Kharif     ,Soyabean,24550,22261
1046,West Bengal,NADIA,Summer     ,Sesamum,24546,29591
1047,Bihar,MUZAFFARPUR,Summer     ,Moong(Green Gram),24487,12635
1048,Bihar,KATIHAR,Kharif     ,Jute,24361,395596
1049,Maharashtra,SANGLI,Rabi       ,Maize,24300,94100
1050,Maharashtra,CHANDRAPUR,Rabi       ,Wheat,24200,17800
1051,Uttarakhand,UTTAR KASHI,Kharif     ,Total foodgrain,24195,35035
1052,West Bengal,NADIA,Rabi       ,Masoor,24135,22485
1053,Karnataka,CHITRADURGA,Kharif     ,Onion,24129,201925
1054,Bihar,SUPAUL,Summer     ,Moong(Green Gram),24108,12801
1055,Maharashtra,OSMANABAD,Rabi       ,Wheat,24100,7100
1056,Uttar Pradesh,JALAUN,Rabi       ,Masoor,24018,11072
1057,Odisha,SAMBALPUR,Summer     ,Rice,24000,91000
1058,Punjab,GURDASPUR,Whole Year ,Sugarcane,24000,1840000
1059,Uttar Pradesh,BUDAUN,Rabi       ,Rapeseed &Mustard,23984,29554
1060,Bihar,ARARIA,Autumn     ,Rice,23955,32840
1061,Jammu and Kashmir ,ANANTNAG,Kharif     ,Rice,23904,19403
1062,Jammu and Kashmir ,POONCH,Kharif     ,Maize,23827,37050
1063,Telangana ,RANGAREDDI,Kharif     ,Rice,23817,60376
1064,Karnataka,BENGALURU URBAN,Kharif     ,Ragi,23792,66654
1065,Uttarakhand,TEHRI GARHWAL,Rabi       ,Wheat,23743,25991
1066,Bihar,PURBI CHAMPARAN,Whole Year ,Sugarcane,23723,1205280
1067,Karnataka,BIDAR,Kharif     ,Urad,23718,5250
1068,Uttar Pradesh,UNNAO,Kharif     ,Urad,23716,7992
1069,Chhattisgarh,DANTEWADA,Kharif     ,Small millets,23662,3593
1070,Maharashtra,NANDED,Kharif     ,Moong(Green Gram),23600,3900
1071,Karnataka,CHIKMAGALUR,Kharif     ,Maize,23589,60797
1072,Uttar Pradesh,UNNAO,Kharif     ,Maize,23550,33182
1073,Uttarakhand,NAINITAL,Rabi       ,Wheat,23524,55137
1074,Uttar Pradesh,BANDA,Kharif     ,Jowar,23435,26097
1075,Maharashtra,SATARA,Kharif     ,Jowar,23400,35900
1076,Bihar,JEHANABAD,Rabi       ,Wheat,23385,66850
1077,Tripura,KHOWAI,Kharif     ,Rice,23381,67131
1078,Andhra Pradesh,KURNOOL,Rabi       ,Rice,23329,82748
1079,Uttar Pradesh,FIROZABAD,Kharif     ,Rice,23319,56619
1080,Maharashtra,JALNA,Kharif     ,Bajra,23300,7700
1081,Uttarakhand,CHAMPAWAT,Whole Year ,Total foodgrain,23287,31919
1082,Chhattisgarh,RAJNANDGAON,Kharif     ,Soyabean,23275,8765
1083,Karnataka,BAGALKOT,Rabi       ,Wheat,23237,36071
1084,Uttar Pradesh,AMROHA,Kharif     ,Rice,23134,61606
1085,Maharashtra,JALNA,Rabi       ,Jowar,23100,6500
1086,Assam,KOKRAJHAR,Summer     ,Paddy,23065,62820
1087,Assam,KOKRAJHAR,Summer     ,Rice,23065,62820
1088,Odisha,JHARSUGUDA,Autumn     ,Rice,23000,22000
1089,Karnataka,BAGALKOT,Kharif     ,Moong(Green Gram),22974,4081
1090,West Bengal,HOOGHLY,Kharif     ,Jute,22933,522038
1091,Uttarakhand,DEHRADUN,Kharif     ,Total foodgrain,22930,44394
1092,Uttar Pradesh,KANPUR DEHAT,Rabi       ,Gram,22825,6730
1093,West Bengal,JALPAIGURI,Summer     ,Rice,22779,59187
1094,Andhra Pradesh,KURNOOL,Kharif     ,Onion,22754,436353
1095,Odisha,KENDRAPARA,Summer     ,Moong(Green Gram),22711,9902
1096,Uttar Pradesh,SHAMLI,Kharif     ,Rice,22666,59952
1097,Andhra Pradesh,ANANTAPUR,Kharif     ,Rice,22658,68155
1098,Bihar,SAHARSA,Autumn     ,Rice,22635,34881
1099,Karnataka,MYSORE,Kharif     ,Cowpea(Lobia),22587,8948
1100,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Kharif     ,Rice,22522,62701
1101,Andhra Pradesh,EAST GODAVARI,Kharif     ,Cotton(lint),22433,47597
1102,Karnataka,MYSORE,Whole Year ,Coconut ,22352,197674
1103,Karnataka,BIJAPUR,Summer     ,Groundnut,22331,15168
1104,West Bengal,BARDHAMAN,Rabi       ,Rapeseed &Mustard,22320,22087
1105,Maharashtra,DHULE,Rabi       ,Gram,22300,17800
1106,Maharashtra,PARBHANI,Rabi       ,Wheat,22300,18800
1107,Karnataka,HASSAN,Kharif     ,Potato,22207,124934
1108,Maharashtra,LATUR,Rabi       ,Jowar,22200,8100
1109,West Bengal,MALDAH,Kharif     ,Jute,22195,382438
1110,Andhra Pradesh,SRIKAKULAM,Kharif     ,Cashewnut,22111,8623
1111,Telangana ,MEDAK,Kharif     ,Sugarcane,22076,1997436
1112,Karnataka,BAGALKOT,Kharif     ,Bajra,22021,24288
1113,Uttar Pradesh,KANNAUJ,Kharif     ,Rice,22007,52355
1114,Telangana ,MEDAK,Kharif     ,Arhar/Tur,22001,6996
1115,Punjab,HOSHIARPUR,Whole Year ,Sugarcane,22000,1515000
1116,Jammu and Kashmir ,BARAMULLA,Kharif     ,Maize,21993,29243
1117,Bihar,MUNGER,Winter     ,Rice,21962,61164
1118,Karnataka,GULBARGA,Kharif     ,Sunflower,21910,12822
1119,Andhra Pradesh,GUNTUR,Rabi       ,Jowar,21907,150983
1120,Maharashtra,NANDURBAR,Rabi       ,Wheat,21900,39100
1121,Uttarakhand,BAGESHWAR,Kharif     ,Total foodgrain,21798,30724
1122,Uttarakhand,PITHORAGARH,Rabi       ,Wheat,21796,30989
1123,Uttar Pradesh,SHAHJAHANPUR,Rabi       ,Masoor,21772,20509
1124,Jammu and Kashmir ,REASI,Kharif     ,Maize,21750,17437
1125,Andhra Pradesh,WEST GODAVARI,Whole Year ,Coconut ,21729,718991000
1126,Karnataka,KOPPAL,Summer     ,Groundnut,21705,19197
1127,West Bengal,BANKURA,Autumn     ,Rice,21698,68762
1128,Karnataka,GULBARGA,Kharif     ,Soyabean,21695,13170
1129,Uttar Pradesh,ALIGARH,Rabi       ,Potato,21683,562023
1130,Maharashtra,PUNE,Rabi       ,Maize,21600,77300
1131,Karnataka,MANDYA,Whole Year ,Sugarcane,21592,2543538
1132,Uttar Pradesh,MAINPURI,Kharif     ,Bajra,21434,51063
1133,Andhra Pradesh,PRAKASAM,Kharif     ,Dry chillies,21371,75824
1134,Karnataka,BELLARY,Kharif     ,Jowar,21316,40197
1135,Jammu and Kashmir ,BARAMULLA,Kharif     ,Rice,21265,23376
1136,Andhra Pradesh,KADAPA,Kharif     ,Mango,21244,77817
1137,Karnataka,DAKSHIN KANNAD,Rabi       ,Rice,21240,51979
1138,Maharashtra,KOLHAPUR,Kharif     ,Ragi,21200,33900
1139,Maharashtra,OSMANABAD,Kharif     ,Maize,21200,8000
1140,Bihar,PURNIA,Kharif     ,Jute,21183,405654
1141,Maharashtra,JALNA,Whole Year ,Sugarcane,21100,1007500
1142,Telangana ,MAHBUBNAGAR,Rabi       ,Gram,21071,37570
1143,Maharashtra,AKOLA,Kharif     ,Moong(Green Gram),21000,3200
1144,Uttar Pradesh,LALITPUR,Kharif     ,Maize,20987,20903
1145,Bihar,KATIHAR,Autumn     ,Rice,20966,56210
1146,Andhra Pradesh,KRISHNA,Rabi       ,Maize,20950,141433
1147,Uttar Pradesh,ETAH,Kharif     ,Maize,20898,66393
1148,Andhra Pradesh,VISAKHAPATANAM,Kharif     ,Ragi,20880,19982
1149,Uttarakhand,PAURI GARHWAL,Rabi       ,Wheat,20852,25147
1150,Telangana ,KHAMMAM,Kharif     ,Dry chillies,20843,78432
1151,Uttar Pradesh,HAPUR,Kharif     ,Rice,20839,61496
1152,Chhattisgarh,JASHPUR,Kharif     ,Niger seed,20801,3516
1153,Karnataka,BAGALKOT,Rabi       ,Maize,20789,81388
1154,Uttar Pradesh,HAMIRPUR,Rabi       ,Peas & beans (Pulses),20721,10153
1155,Uttar Pradesh,KANPUR DEHAT,Rabi       ,Rapeseed &Mustard,20675,13191
1156,Uttarakhand,PAURI GARHWAL,Kharif     ,Ragi,20634,28065
1157,Maharashtra,BULDHANA,Kharif     ,Jowar,20600,22100
1158,Karnataka,MANDYA,Rabi       ,Horse-gram,20555,9783
1159,Karnataka,DHARWAD,Kharif     ,Rice,20554,32589
1160,West Bengal,MURSHIDABAD,Summer     ,Sesamum,20433,18620
1161,Uttar Pradesh,ALLAHABAD,Rabi       ,Gram,20430,5329
1162,Assam,KAMRUP METRO,Winter     ,Paddy,20398,39782
1163,Assam,KAMRUP METRO,Winter     ,Rice,20398,39782
1164,Kerala,KANNUR,Whole Year ,Cashewnut,20351,18570
1165,Uttarakhand,NAINITAL,Kharif     ,Total foodgrain,20341,46056
1166,Karnataka,DAVANGERE,Kharif     ,Cotton(lint),20325,29075
1167,Bihar,KATIHAR,Summer     ,Maize,20299,110570
1168,Karnataka,GULBARGA,Kharif     ,Moong(Green Gram),20292,6362
1169,Uttar Pradesh,AZAMGARH,Kharif     ,Sugarcane,20282,1249533
1170,Karnataka,GULBARGA,Rabi       ,Sunflower,20278,10692
1171,West Bengal,BANKURA,Summer     ,Sesamum,20249,17276
1172,Karnataka,BELGAUM,Kharif     ,Jowar,20218,27793
1173,Maharashtra,WASHIM,Kharif     ,Cotton(lint),20200,16800
1174,Uttarakhand,DEHRADUN,Rabi       ,Total foodgrain,20195,30704
1175,Assam,SONITPUR,Rabi       ,Rapeseed &Mustard,20152,12307
1176,Uttarakhand,PITHORAGARH,Kharif     ,Rice,20131,25550
1177,Uttarakhand,PITHORAGARH,Whole Year ,Rice,20131,25550
1178,Uttar Pradesh,FAIZABAD,Kharif     ,Sugarcane,20004,1328266
1179,Odisha,DEOGARH,Autumn     ,Rice,20000,47000
1180,Odisha,KORAPUT,Autumn     ,Rice,20000,23000
1181,Punjab,RUPNAGAR,Kharif     ,Maize,20000,58000
1182,West Bengal,DINAJPUR DAKSHIN,Kharif     ,Jute,19926,280075
1183,Maharashtra,NASHIK,Kharif     ,Groundnut,19900,20100
1184,Assam,KOKRAJHAR,Autumn     ,Paddy,19867,31130
1185,Assam,KOKRAJHAR,Autumn     ,Rice,19867,31130
1186,Nagaland,MON,Kharif     ,Rice,19850,41130
1187,Uttar Pradesh,HARDOI,Kharif     ,Sesamum,19828,3629
1188,Maharashtra,DHULE,Kharif     ,Jowar,19800,23500
1189,Bihar,MADHEPURA,Summer     ,Maize,19781,106664
1190,Telangana ,WARANGAL,Rabi       ,Groundnut,19768,34752
1191,Chhattisgarh,BALRAMPUR,Kharif     ,Maize,19750,35369
1192,Uttar Pradesh,ALIGARH,Rabi       ,Rapeseed &Mustard,19731,19680
1193,Assam,KARBI ANGLONG,Rabi       ,Rapeseed &Mustard,19713,11316
1194,Uttarakhand,UDAM SINGH NAGAR,Kharif     ,Sugarcane,19590,1255719
1195,Karnataka,UDUPI,Whole Year ,Cashewnut,19562,6217
1196,Uttar Pradesh,SHRAVASTI,Rabi       ,Masoor,19467,10999
1197,West Bengal,24 PARAGANAS SOUTH,Summer     ,Moong(Green Gram),19457,11399
1198,Karnataka,BIJAPUR,Kharif     ,Groundnut,19413,12633
1199,Maharashtra,BEED,Kharif     ,Jowar,19400,10300
1200,Bihar,SAHARSA,Summer     ,Moong(Green Gram),19277,4954
1201,Uttar Pradesh,BANDA,Kharif     ,Sesamum,19197,3263
1202,Uttar Pradesh,KASGANJ,Kharif     ,Rice,19146,45740
1203,Andhra Pradesh,KADAPA,Rabi       ,Coriander,19126,11724
1204,Uttar Pradesh,HAMIRPUR,Rabi       ,Rapeseed &Mustard,19110,7587
1205,Andhra Pradesh,WEST GODAVARI,Kharif     ,Sugarcane,19090,1732242
1206,Uttarakhand,RUDRA PRAYAG,Kharif     ,Total foodgrain,19089,26832
1207,Maharashtra,JALGAON,Kharif     ,Bajra,19000,23200
1208,Maharashtra,NANDURBAR,Rabi       ,Gram,18900,13400
1209,Jammu and Kashmir ,KATHUA,Kharif     ,Maize,18852,27663
1210,Uttarakhand,DEHRADUN,Rabi       ,Wheat,18821,29415
1211,Maharashtra,NANDED,Whole Year ,Sugarcane,18800,1113200
1212,Maharashtra,SOLAPUR,Kharif     ,Arhar/Tur,18800,9000
1213,Kerala,KASARAGOD,Whole Year ,Arecanut,18733,51406
1214,Maharashtra,AURANGABAD,Kharif     ,Soyabean,18700,8500
1215,Kerala,ALAPPUZHA,Summer     ,Rice,18685,60549
1216,Karnataka,GULBARGA,Kharif     ,Urad,18672,6616
1217,Kerala,PALAKKAD,Whole Year ,Banana,18628,175132
1218,Bihar,ARARIA,Summer     ,Maize,18525,74348
1219,Telangana ,NIZAMABAD,Rabi       ,Maize,18518,92312
1220,Uttar Pradesh,HARDOI,Kharif     ,Urad,18511,10699
1221,Andhra Pradesh,EAST GODAVARI,Rabi       ,Urad,18500,7641
1222,Bihar,BHAGALPUR,Rabi       ,Maize,18452,45355
1223,Telangana ,MAHBUBNAGAR,Kharif     ,Jowar,18420,21625
1224,Karnataka,DAKSHIN KANNAD,Whole Year ,Coconut ,18407,282127
1225,Maharashtra,DHULE,Kharif     ,Moong(Green Gram),18400,6500
1226,Kerala,MALAPPURAM,Whole Year ,Arecanut,18352,22073
1227,Bihar,ARARIA,Rabi       ,Maize,18346,81365
1228,Jammu and Kashmir ,KULGAM,Kharif     ,Rice,18344,18025
1229,Maharashtra,AKOLA,Rabi       ,Wheat,18300,25800
1230,Assam,BARPETA,Rabi       ,Rapeseed &Mustard,18263,9865
1231,Uttar Pradesh,ETAH,Kharif     ,Rice,18244,40283
1232,West Bengal,MURSHIDABAD,Autumn     ,Rice,18234,46997
1233,Maharashtra,NANDURBAR,Kharif     ,Rice,18200,9000
1234,Nagaland,WOKHA,Kharif     ,Rice,18180,41140
1235,Karnataka,CHIKBALLAPUR,Kharif     ,Groundnut,18166,9405
1236,Uttar Pradesh,KANPUR DEHAT,Kharif     ,Bajra,18127,38679
1237,Jammu and Kashmir ,KUPWARA,Kharif     ,Maize,18088,15587
1238,Uttar Pradesh,BALRAMPUR,Rabi       ,Rapeseed &Mustard,18087,12788
1239,Bihar,SHEOHAR,Winter     ,Rice,18076,30595
1240,Bihar,MADHEPURA,Summer     ,Moong(Green Gram),18064,7388
1241,Assam,SONITPUR,Autumn     ,Paddy,18027,32220
1242,Assam,SONITPUR,Autumn     ,Rice,18027,32220
1243,Jammu and Kashmir ,RAMBAN,Kharif     ,Maize,18022,12941
1244,West Bengal,MEDINIPUR EAST,Summer     ,Groundnut,17994,52469
1245,Uttar Pradesh,KANPUR NAGAR,Kharif     ,Maize,17941,21206
1246,Karnataka,UTTAR KANNAD,Whole Year ,Arecanut,17912,227247
1247,Bihar,KHAGARIA,Autumn     ,Maize,17899,62173
1248,Odisha,KHORDHA,Summer     ,Moong(Green Gram),17889,4078.7
1249,Karnataka,UDUPI,Whole Year ,Coconut ,17825,313547
1250,Bihar,BEGUSARAI,Winter     ,Rice,17817,31110
1251,Bihar,MADHEPURA,Rabi       ,Maize,17807,102444
1252,Andhra Pradesh,SPSR NELLORE,Rabi       ,Urad,17792,14429
1253,Andhra Pradesh,VIZIANAGARAM,Rabi       ,Urad,17755,9890
1254,Telangana ,WARANGAL,Kharif     ,Moong(Green Gram),17717,10506
1255,Maharashtra,OSMANABAD,Kharif     ,Bajra,17700,4400
1256,Jammu and Kashmir ,KUPWARA,Kharif     ,Rice,17680,18307
1257,Andhra Pradesh,WEST GODAVARI,Kharif     ,Cashewnut,17678,6435
1258,Tripura,UNAKOTI,Kharif     ,Rice,17674,51830
1259,Karnataka,TUMKUR,Kharif     ,Horse-gram,17649,8450
1260,Chhattisgarh,DURG,Rabi       ,Gram,17624,19381
1261,Bihar,BHAGALPUR,Autumn     ,Maize,17559,69304
1262,Assam,BARPETA,Autumn     ,Paddy,17551,18634
1263,Assam,BARPETA,Autumn     ,Rice,17551,18634
1264,Karnataka,YADGIR,Rabi       ,Gram,17533,12026
1265,Uttar Pradesh,BANDA,Kharif     ,Arhar/Tur,17522,3513
1266,Uttar Pradesh,BARABANKI,Rabi       ,Potato,17393,436669
1267,Karnataka,BELLARY,Rabi       ,Jowar,17366,25588
1268,Assam,DARRANG,Summer     ,Paddy,17356,65241
1269,Assam,DARRANG,Summer     ,Rice,17356,65241
1270,Maharashtra,BULDHANA,Rabi       ,Maize,17200,2700
1271,Karnataka,CHITRADURGA,Whole Year ,Arecanut,17190,194006
1272,Telangana ,MEDAK,Rabi       ,Maize,17149,56043
1273,Uttar Pradesh,ETAWAH,Rabi       ,Potato,17149,423323
1274,West Bengal,BARDHAMAN,Summer     ,Sesamum,17132,15571
1275,Maharashtra,KOLHAPUR,Rabi       ,Jowar,17100,27100
1276,Uttar Pradesh,CHITRAKOOT,Rabi       ,Masoor,17073,2151
1277,Uttar Pradesh,HAMIRPUR,Kharif     ,Urad,17064,5051
1278,Andhra Pradesh,KURNOOL,Kharif     ,Jowar,17060,41951
1279,Bihar,MADHEPURA,Autumn     ,Rice,17032,34849
1280,Kerala,KOLLAM,Whole Year ,Tapioca,17028,661600
1281,Odisha,SONEPUR,Autumn     ,Rice,17000,36000
1282,Punjab,AMRITSAR,Kharif     ,Sesamum,17000,3000
1283,Karnataka,KOPPAL,Kharif     ,Sunflower,16994,12286
1284,Karnataka,DHARWAD,Rabi       ,Cotton(lint),16962,18388
1285,Assam,DHEMAJI,Rabi       ,Rapeseed &Mustard,16930,17650
1286,Uttarakhand,BAGESHWAR,Rabi       ,Total foodgrain,16924,15296
1287,West Bengal,MURSHIDABAD,Rabi       ,Masoor,16922,19369
1288,Maharashtra,HINGOLI,Kharif     ,Moong(Green Gram),16900,2100
1289,Uttarakhand,ALMORA,Kharif     ,Rice,16897,19776
1290,Uttarakhand,ALMORA,Whole Year ,Rice,16897,19776
1291,Andhra Pradesh,ANANTAPUR,Kharif     ,Maize,16839,42687
1292,West Bengal,JALPAIGURI,Rabi       ,Wheat,16823,37758
1293,Uttar Pradesh,FATEHPUR,Rabi       ,Rapeseed &Mustard,16818,9115
1294,Maharashtra,NASHIK,Whole Year ,Sugarcane,16800,1384200
1295,Karnataka,GADAG,Rabi       ,Wheat,16757,18068
1296,Telangana ,KHAMMAM,Kharif     ,Maize,16750,56330
1297,West Bengal,DINAJPUR DAKSHIN,Summer     ,Rice,16722,56152
1298,Andhra Pradesh,KRISHNA,Kharif     ,Sugarcane,16719,1400898
1299,Chhattisgarh,RAIGARH,Kharif     ,Urad,16710,4188
1300,Kerala,IDUKKI,Whole Year ,Coconut ,16655,75000000
1301,Uttar Pradesh,FATEHPUR,Kharif     ,Arhar/Tur,16633,3325
1302,Bihar,SHEOHAR,Rabi       ,Wheat,16620,22905
1303,Andhra Pradesh,VIZIANAGARAM,Kharif     ,Maize,16616,47705
1304,Karnataka,KOPPAL,Kharif     ,Moong(Green Gram),16571,2204
1305,Uttar Pradesh,BAREILLY,Rabi       ,Rapeseed &Mustard,16545,8372
1306,Telangana ,KARIMNAGAR,Kharif     ,Soyabean,16533,17872
1307,Chhattisgarh,MUNGELI,Rabi       ,Gram,16524,14660
1308,Maharashtra,BHANDARA,Rabi       ,Gram,16500,8200
1309,Bihar,PURNIA,Summer     ,Maize,16468,36213
1310,Uttar Pradesh,KANNAUJ,Summer     ,Maize,16444,29237
1311,Maharashtra,BHANDARA,Rabi       ,Other  Rabi pulses,16400,3500
1312,Maharashtra,SATARA,Kharif     ,Maize,16400,31400
1313,Andhra Pradesh,PRAKASAM,Rabi       ,Urad,16354,14293
1314,Karnataka,RAICHUR,Rabi       ,Sunflower,16293,8157
1315,Karnataka,SHIMOGA,Summer     ,Rice,16288,56262
1316,Chhattisgarh,BEMETARA,Rabi       ,Wheat,16209,16083
1317,Andhra Pradesh,EAST GODAVARI,Rabi       ,Moong(Green Gram),16204,5914
1318,Karnataka,YADGIR,Kharif     ,Bajra,16160,15552
1319,West Bengal,BIRBHUM,Rabi       ,Potato,16153,492552
1320,Arunachal Pradesh,EAST SIANG,Kharif     ,Rice,16120,27463
1321,Jammu and Kashmir ,PULWAMA,Kharif     ,Rice,16100,6603
1322,Maharashtra,RATNAGIRI,Kharif     ,Ragi,16100,21400
1323,Chhattisgarh,RAIPUR,Rabi       ,Khesari,16080,17255
1324,Telangana ,KHAMMAM,Rabi       ,Maize,16045,104694
1325,Maharashtra,SOLAPUR,Rabi       ,Sunflower,16000,9900
1326,Uttar Pradesh,MAHARAJGANJ,Kharif     ,Sugarcane,15932,952033
1327,Bihar,ARARIA,Kharif     ,Jute,15924,144997
1328,Karnataka,HAVERI,Kharif     ,Groundnut,15918,20490
1329,Uttarakhand,TEHRI GARHWAL,Kharif     ,Small millets,15909,24118
1330,Andhra Pradesh,PRAKASAM,Rabi       ,Maize,15889,127001
1331,West Bengal,24 PARAGANAS NORTH,Autumn     ,Rice,15876,42913
1332,Bihar,LAKHISARAI,Winter     ,Rice,15866,58519
1333,Andhra Pradesh,EAST GODAVARI,Kharif     ,Mango,15820,191027
1334,Nagaland,TUENSANG,Kharif     ,Rice,15810,34630
1335,Kerala,PATHANAMTHITTA,Whole Year ,Coconut ,15803,92000000
1336,Maharashtra,OSMANABAD,Rabi       ,Sunflower,15800,4900
1337,Telangana ,NIZAMABAD,Kharif     ,Cotton(lint),15795,18861
1338,Uttar Pradesh,HAMIRPUR,Kharif     ,Jowar,15783,12989
1339,Uttar Pradesh,BALLIA,Rabi       ,Masoor,15767,14569
1340,Nagaland,PEREN,Kharif     ,Rice,15760,37400
1341,Uttar Pradesh,SONBHADRA,Kharif     ,Maize,15760,16548
1342,Andhra Pradesh,KADAPA,Kharif     ,Groundnut,15754,6963
1343,Kerala,THIRUVANANTHAPURAM,Whole Year ,Tapioca,15754,586394
1344,Karnataka,HASSAN,Whole Year ,Dry ginger,15736,510979
1345,Andhra Pradesh,VIZIANAGARAM,Kharif     ,Cotton(lint),15698,37286
1346,Uttar Pradesh,JALAUN,Kharif     ,Bajra,15683,12932
1347,Telangana ,NALGONDA,Kharif     ,Arhar/Tur,15661,7470
1348,Karnataka,GULBARGA,Kharif     ,Bajra,15642,18218
1349,Uttar Pradesh,MAINPURI,Rabi       ,Potato,15606,445504
1350,Maharashtra,GADCHIROLI,Rabi       ,Other  Rabi pulses,15600,3400
1351,Maharashtra,JALGAON,Kharif     ,Arhar/Tur,15600,8200
1352,Maharashtra,OSMANABAD,Kharif     ,Moong(Green Gram),15600,3400
1353,Andhra Pradesh,KRISHNA,Rabi       ,Moong(Green Gram),15572,12286
1354,Karnataka,BELLARY,Kharif     ,Bajra,15570,16700
1355,West Bengal,DARJEELING,Autumn     ,Maize,15563,36415
1356,Chhattisgarh,DHAMTARI,Rabi       ,Khesari,15551,15735
1357,Nagaland,MOKOKCHUNG,Kharif     ,Rice,15520,34500
1358,Maharashtra,DHULE,Kharif     ,Soyabean,15500,20000
1359,Maharashtra,SANGLI,Kharif     ,Rice,15500,31400
1360,Uttar Pradesh,UNNAO,Rabi       ,Rapeseed &Mustard,15484,8566
1361,Karnataka,YADGIR,Rabi       ,Rice,15448,36542
1362,Karnataka,CHAMARAJANAGAR,Kharif     ,Ragi,15415,23812
1363,Bihar,SARAN,Autumn     ,Maize,15387,40056
1364,Assam,DHUBRI,Rabi       ,Rapeseed &Mustard,15305,12924
1365,Bihar,BEGUSARAI,Rabi       ,Maize,15264,51684
1366,Uttar Pradesh,ALLAHABAD,Kharif     ,Arhar/Tur,15261,8508
1367,Goa,SOUTH GOA,Whole Year ,Cashewnut,15260,6714
1368,Uttarakhand,CHAMOLI,Rabi       ,Total foodgrain,15255,17630
1369,Assam,DARRANG,Rabi       ,Rapeseed &Mustard,15205,9017
1370,Karnataka,YADGIR,Summer     ,Rice,15205,35029
1371,Maharashtra,HINGOLI,Whole Year ,Sugarcane,15200,855700
1372,Nagaland,PHEK,Kharif     ,Rice,15190,39730
1373,Uttar Pradesh,KANPUR NAGAR,Rabi       ,Gram,15162,11180
1374,Bihar,SAHARSA,Summer     ,Maize,15128,72319
1375,Uttar Pradesh,BUDAUN,Rabi       ,Potato,15112,301273
1376,West Bengal,MEDINIPUR EAST,Autumn     ,Rice,15111,34064
1377,Maharashtra,DHULE,Kharif     ,Groundnut,15100,9100
1378,Karnataka,CHAMARAJANAGAR,Rabi       ,Horse-gram,15081,6705
1379,Uttar Pradesh,ETAWAH,Rabi       ,Rapeseed &Mustard,15076,6317
1380,Karnataka,CHAMARAJANAGAR,Kharif     ,Cotton(lint),15063,17592
1381,Karnataka,RAMANAGARA,Whole Year ,Coconut ,15056,167850
1382,Andhra Pradesh,KADAPA,Rabi       ,Sesamum,15049,10775
1383,West Bengal,MURSHIDABAD,Kharif     ,Urad,15048,11443
1384,Uttar Pradesh,SITAPUR,Rabi       ,Masoor,15046,8260
1385,Karnataka,BIDAR,Rabi       ,Jowar,15021,10346
1386,Bihar,KISHANGANJ,Kharif     ,Jute,15010,222815
1387,Odisha,ANUGUL,Autumn     ,Rice,15000,28000
1388,Punjab,TARN TARAN,Kharif     ,Sesamum,15000,6000
1389,Karnataka,GADAG,Kharif     ,Dry chillies,14993,7649
1390,Andhra Pradesh,ANANTAPUR,Rabi       ,Groundnut,14957,24679
1391,Telangana ,MEDAK,Kharif     ,Moong(Green Gram),14940,8232
1392,Karnataka,KODAGU,Whole Year ,Black pepper,14934,66531
1393,Goa,SOUTH GOA,Kharif     ,Rice,13455,40307
1394,Odisha,GAJAPATI,Autumn     ,Maize,14921,16025.6
1395,Uttarakhand,BAGESHWAR,Rabi       ,Wheat,14904,13702
1396,Uttar Pradesh,MATHURA,Rabi       ,Potato,14903,348238
1397,Andhra Pradesh,KADAPA,Rabi       ,Sunflower,14902,10536
1398,Andhra Pradesh,SPSR NELLORE,Kharif     ,Lemon,14883,64696
1399,Assam,NAGAON,Rabi       ,Rapeseed &Mustard,14882,10177
1400,Nagaland,KOHIMA,Kharif     ,Rice,14860,35980
